Date,Media,Tweet,Compound,Positive,Negative,Neutral,Tweets Ago
Sat Dec 30 20:23:04 +0000 2017,@nytimes,RT @nytimesworld: Google's move into urban planning may prove to be more of a political and technological challenge. https://t.co/cML3TqvCVs,0.0772,0.071,0.0,0.929,82
Sat Dec 30 20:13:02 +0000 2017,@nytimes,"""It is an enormously difficult thing to leave with the body in pain, the heart in pieces and no baby in your arms"" https://t.co/6XHAzwqDhE",-0.8173,0.0,0.322,0.678,83
Sat Dec 30 20:03:03 +0000 2017,@nytimes,"Nepal has barred solo climbers from its mountains, including Mount Everest https://t.co/89cklBFBq8",0.0,0.0,0.0,1.0,84
Sat Dec 30 19:53:07 +0000 2017,@nytimes,"""It’s as if all hard-won equality in the home is tossed on trash night. It may be the last bastion of accepted 1950… https://t.co/mad2MfpW8N",0.2732,0.084,0.0,0.916,85
Sat Dec 30 19:43:04 +0000 2017,@nytimes,“Those babies just celebrated Christmas. They didn’t make it to the New Year.” https://t.co/dHq84A0TdV,0.5719,0.222,0.0,0.778,86
Sat Dec 30 19:33:06 +0000 2017,@nytimes,The Trump administration dismissed the remaining members of a federal council on HIV and AIDS https://t.co/r0EteFcGpA,0.0,0.0,0.0,1.0,87
Sat Dec 30 19:23:02 +0000 2017,@nytimes,"Erica Garner, the daughter of Eric Garner who became an outspoken activist against police brutality, has died at 27 https://t.co/lYV7RV6Fic",-0.8225,0.0,0.297,0.703,88
Sat Dec 30 19:13:06 +0000 2017,@nytimes,The United States has pummeled Al Qaeda's branch in Yemen. But the threat the group poses has been barely dented. https://t.co/CTXnV2SVM1,-0.1531,0.111,0.135,0.754,89
Sat Dec 30 19:03:05 +0000 2017,@nytimes,"A campaign by Trump's supporters to discredit the FBI and Robert Mueller is growing more heated, splitting the Repu… https://t.co/DSB1HtL3lP",0.5574,0.213,0.0,0.787,90
Sat Dec 30 18:53:01 +0000 2017,@nytimes,"RT @nytimesarts: In ""Black Mirror,"" the ability to digitize consciousness threatens to turn ordinary sadists into Satans https://t.co/DCNb8…",-0.0772,0.11,0.124,0.766,91
Sat Dec 30 18:44:01 +0000 2017,@nytimes,"Why children play with fire, and how to prevent it https://t.co/S5l4Tntql3",0.0258,0.252,0.173,0.576,92
Sat Dec 30 18:34:43 +0000 2017,@nytimes,"RT @nytopinion: Alcohol abuse takes a toll. Its repercussions can be found in numerous relationships strained or broken, career goals not m…",-0.875,0.0,0.357,0.643,93
Sat Dec 30 18:23:01 +0000 2017,@nytimes,"He cooked up an ingenious scheme to break out of prison. And he'd done it before, in 2015. So this time he tried to… https://t.co/Yu8IgP8Vsz",-0.5106,0.0,0.121,0.879,94
Sat Dec 30 18:13:04 +0000 2017,@nytimes,"The FBI's Russia investigation didn't start, as Trump and others have alleged, with a dossier compiled by a former… https://t.co/V3V8JZRi0p",0.0,0.0,0.0,1.0,95
Sat Dec 30 18:03:08 +0000 2017,@nytimes,Brussels forbids regular tents on its streets. Origami-style cardboard tents are giving homeless people a safe way… https://t.co/j1mae8cC01,0.4588,0.245,0.106,0.648,96
Sat Dec 30 17:53:03 +0000 2017,@nytimes,"She was a news intern. He was a TV journalist. She says he raped her, and she decided to do something Japanese wome… https://t.co/2wO0JNNtpR",-0.6808,0.0,0.18,0.82,97
Sat Dec 30 17:43:03 +0000 2017,@nytimes,"The best of ""The Daily"" in 2017 https://t.co/bpFaB3PnMk",0.6369,0.375,0.0,0.625,98
Sat Dec 30 17:33:06 +0000 2017,@nytimes,"These are children who are in prison only because their mothers are there, with no one else in their family willing… https://t.co/BAMIbynnqI",-0.6705,0.0,0.216,0.784,99
Sat Dec 30 17:23:04 +0000 2017,@nytimes,"What happened to the dominance of American women in figure skating?
 https://t.co/inN3VT8uC6",0.2023,0.141,0.0,0.859,100
Sun Jan 14 01:49:00 +0000 2018,@bbcworld,Cult Mexican horror radio show The Hairy Hand ends https://t.co/QRMNnhHuXO,-0.128,0.215,0.248,0.537,1
Sun Jan 14 01:02:54 +0000 2018,@bbcworld,Dealing with debt: The mini-bankers learning how to save https://t.co/jbQJ9mrmZW,0.1779,0.234,0.182,0.584,2
Sun Jan 14 00:50:11 +0000 2018,@bbcworld,Steve Bannon: The Trump-whisperer's rapid fall from grace https://t.co/gsH0fetTeV,0.4215,0.259,0.0,0.741,3
Sun Jan 14 00:46:52 +0000 2018,@bbcworld,The hotel where you can live like a Farc rebel https://t.co/NqN4QoRsGI,0.2263,0.207,0.132,0.661,4
Sun Jan 14 00:46:52 +0000 2018,@bbcworld,Ethiopia's 800-year-old rock churches https://t.co/KWVxFS75Ij,0.0,0.0,0.0,1.0,5
Sun Jan 14 00:43:33 +0000 2018,@bbcworld,Recording the lives of those waiting for clean water https://t.co/WeKkWPRsgr,0.4019,0.231,0.0,0.769,6
Sun Jan 14 00:40:20 +0000 2018,@bbcworld,Why Pakistan won't share intelligence with the US https://t.co/D0fvHFiX0V,-0.5334,0.0,0.388,0.612,7
Sun Jan 14 00:37:17 +0000 2018,@bbcworld,The UK millionaire with Bollywood dreams https://t.co/PcBdabuXb4,0.4019,0.31,0.0,0.69,8
Sun Jan 14 00:37:15 +0000 2018,@bbcworld,France's celebrity pushback against 'MeToo' https://t.co/9sLYw0D9tQ,0.0,0.0,0.0,1.0,9
Sun Jan 14 00:30:40 +0000 2018,@bbcworld,Chelsea Manning: Ex-army leaker to run for US senate https://t.co/Uj4WcgEHKs,0.0,0.0,0.0,1.0,10
Sun Jan 14 00:11:57 +0000 2018,@bbcworld,Colombia's ELN rebels kidnap oil worker https://t.co/MeNhZenT86,-0.2023,0.0,0.231,0.769,11
Sat Jan 13 23:13:27 +0000 2018,@bbcworld,Recording of Hawaii ballistic missile waning https://t.co/KdMwHVFwHc,0.0,0.0,0.0,1.0,12
Sat Jan 13 22:54:00 +0000 2018,@bbcworld,President Macron: Baguette me not? https://t.co/DWuYziC9Ad,0.0,0.0,0.0,1.0,13
Sat Jan 13 22:46:51 +0000 2018,@bbcworld,Mark Wahlberg donates reshoot fee to Time's Up defence fund https://t.co/syCTUVRSbw,0.1027,0.123,0.0,0.877,14
Sat Jan 13 22:14:00 +0000 2018,@bbcworld,"A woman's choice - sexual favours or lose her home?

A BBC News investigation reveals that sexual harassment in US… https://t.co/N9nz8TPF2d",-0.5267,0.117,0.258,0.625,15
Sat Jan 13 19:23:39 +0000 2018,@bbcworld,Baby Panda Yuan Meng makes debut in France https://t.co/WSBZuFkleO,0.0,0.0,0.0,1.0,16
Sat Jan 13 18:59:50 +0000 2018,@bbcworld,H&amp;M stores in South Africa trashed over 'racist' hoodie https://t.co/RT5JUoBUkN,0.0,0.0,0.0,1.0,17
Sat Jan 13 18:45:45 +0000 2018,@bbcworld,Hawaii sends out missile alert by mistake https://t.co/7PKwR2mQP0,-0.0516,0.208,0.226,0.566,18
Sat Jan 13 17:40:21 +0000 2018,@bbcworld,Donald Trump in excellent health - White House doctor https://t.co/pQJGI3netZ,0.5719,0.316,0.0,0.684,19
